EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
Cyclone - Mackay ,Cyclone,Mackay,,,20,30,,,1,
Cyclone - Balla Balla,Cyclone,Port Hedland,-20.304791,118.527996,20,173,,,3,Western Australia
"Cyclone - Broome, Lacepede Islands",Cyclone,"Broome, Lacepede Islands",-17.953496,122.234252,25,142,,,3,Western Australia
Cyclone Broome,Cyclone,Broome,-17.959023,122.258848,19,40,,,11,Western Australia
Cyclone - Cooktown,Cyclone,Cooktown,-15.326993,145.196941,19,9,,,1,Queensland
Cyclone Leonta,Cyclone,Townsville,-19.334295,146.640943,9,10,,,3,Northern Territory
Earthquake - Christchurch - New Zealand,Earthquake,Outside Territorial Waters,-24.826589,109.869075,22,185,,370000000,2,Western Australia
Earthquake - Sumatra,Earthquake,Outside Territorial Waters,-24.882318,109.556772,30,1117,,,9,Western Australia
"Earthquake â€“ Hunter Valley, Ellalong and Cessnock",Earthquake,Sydney,-33.910552,151.170184,6,,,37200000,8,Northern Territory
Earthquake - Newcastle,Earthquake,Sydney,-34.045295,151.340747,28,13,,862000000,12,Australian Capital Territory
Earthquake - Meckering and Region,Earthquake,Merredin,-31.473953,118.286546,14,,,1500000,10,Western Australia
Earthquake - Victoria ,Earthquake,Alpine National Park,,,22,,,110533377,9,Victoria
Flood - Bolwarra,Flood,Sydney,-33.837105,151.237391,1857,26,,,7,Western Australia
Flood - Gundagai,Flood,Canberra (NSW),-35.276484,149.125819,1852,89,,,6,New South Wales
Flood - Mid-North South Australia,Flood,"Adelaide , Leigh Creek , Murray Bridge (SA)",-33.632679,138.760129,1889,5,,,4,South Australia
Flood - Araluen and Braidwood,Flood,Wollongong,-34.66772,150.931275,1860,24,,,2,Australian Capital Territory
Flood -  Widespread New South Wales (including Queensland and South Australia),Flood,"Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)",-32.748051,143.551594,1890,9,,,4,New South Wales
"Flood - Black February. Brisbane, Ipswich and Maryborough",Flood,"Brisbane , Bundaberg",-26.178393,152.936381,1893,35,,,2,New South Wales
Flood - Maitland,Flood,Maitland,-32.734152,151.553868,1893,8,,,3,Australian Capital Territory
Flood - Katherine and Daly River,Flood,"Katherine , Victoria River",-25.941055,138.48519,1879,6,,,2,Victoria
